record_id,tk_video_id,shot_id,start_sec,end_sec,duration_sec,scene_group_id,scene_title_cn,shot_title_cn,shot_goal,aspect_ratio,video_type_tag,visual_content_description,location_setting,character_desc,emotion_state,action_blocking,product_desc,must_show,on_screen_text_graphics,camera_shot_size,camera_angle,camera_movement,composition_notes,lighting_atmosphere,color_grading,language_style,emphasis_notes,audio_bgm,audio_sfx,ambient_sound,editing_transition,pacing_notes,constraints_real_shoot,constraints_compliance,reverse_constraints,assets_needed,sentence_mapping,dialogue_vo_original,dialogue_vo_zh,mapping_notes,rewrite_vo_target_language,rewrite_vo_zh_translation,ref_frame_timestamp_sec,ref_frame_basis,app_id,app_secret,jarvis_api_key,1,ref_frame_image,抽帧图
recvdChmQd21n1,24,1,0,6,6,1,拆包裹与初印象,包装与衣服质感初展,Hook,9:16,Vlog,女主播手持品牌纸盒站立，画面切至礼盒内贺卡特写，随后女主拿出透明防尘袋里的棕色毛衣并用手捏搓展示面料。,室内 / 开放式厨房，有中岛台和冰箱背景,年轻女性，长卷发，紧身无袖黑背心配牛仔裤，精致淡妆,充满惊喜,面对镜头展示盒子，手伸进袋子揉搓布料感受柔软度,带有Meilleur Moment Logo的纸盒及棕色羊绒毛衣,品牌外包装盒Logo、贺卡细节、毛衣的软糯捏触感,底部英文字幕，包装盒上的MEILLEUR MOMENT字样,中景 / 特写交替,平拍,固定机位,人物居中，背景自然留白,室内明亮自然光,暖调原色,朋友聊天式分享,"重读 sweaters, unreal",无,无,纸盒摩擦与包装袋声音,快速跳切,偏快，迅速入题,保持产品在视觉中心，背景避免杂物干扰,无明显,避免冗长无聊的暴力拆箱过程，不要暗角,品牌Logo贴纸、动态字幕,"1,2",Got my sweaters from Meilleur Moment. / The softness is actually unreal.,收到Meilleur Moment的毛衣了。 / 这柔软度真的绝了。,包含两句短句,Just unboxed these Meilleur Moment gems. The fabric feels absolutely heavenly.,刚拆Meilleur Moment的宝藏。面料简直像天堂。,4.8,1) 手部抓捏毛衣动作清晰 2) 衣服纹理与柔软度展现充分 3) 画面光线明亮无遮挡,,,,1,http://bucket-xuyiyao-01.oss-cn-beijing.aliyuncs.com/n8n/2026-03-12/bf3baad4-760b-41ae-b5e7-d6e8dcf65318-recvdChmQd21n1.jpg,md1_2026-03-11-10:31:15.png
recvdChmQdhDf4,24,2,6,11,5,1,拆包裹与初印象,多颜色面料特写,卖点,9:16,口播测评,镜头切至灰色毛衣表面纹理的大特写，接着女主手持两件（棕色和深蓝色）毛衣展示在身前。,室内 / 同前家居背景,年轻女性，长卷发，紧身无袖黑背心配牛仔裤，精致淡妆,喜爱,衣服贴近镜头展示肌理，随后人物手持两件衣服左右对比展示,巧克力棕和海军蓝色两款毛衣,毛衣的针织纹理与透气孔隙、两款高级配色,底部英文字幕,特写 / 中景,平拍,原地定点切景别,产品几乎铺满屏幕以强调质感,柔和明亮光,暖调,种草分享,"重读 gorgeous, blanket",无,无,无,直切,中速,微距特写必须保证高清晰对焦不糊,无明显,严禁调色过度导致毛衣偏色失真,无,3,Gorgeous colors. Feels like wrapping in a blanket.,颜色绝美，感觉像裹在毯子里。,无,Stunning shades. Like a warm hug you can wear.,色调迷人。穿上就像个温暖拥抱。,8.2,1) 两件毛衣颜色对比清晰 2) 人物展示动作舒展自然 3) 衣服未被过度遮挡,,,,1,http://bucket-xuyiyao-01.oss-cn-beijing.aliyuncs.com/n8n/2026-03-12/548013ff-1ae5-4940-abc1-c5fbe720a949-recvdChmQdhDf4.jpg,md1_2026-03-11-10:32:04.png
recvdChmQdKRHd,24,3,11,18,7,2,上身试穿展示,棕色款披肩造型,演示,9:16,口播测评,女主换上白色阔腿裤，将巧克力棕色毛衣打结当作披肩搭在肩上，双手插兜展示整体知性穿搭。,室内 / 客厅与厨房的走廊交界处,女主换上白色裤子，深色内搭，肩披棕色毛衣,自信优雅,身体左右轻微转动展示版型，双手插兜显出从容感,巧克力棕色羊绒毛衣 (披肩态),披肩打结的自然垂坠感与整体高级氛围,底部英文字幕,全景 / 中景,平拍,固定机位,人物全身占幅主导，展示完整OOTD,生活感自然光,暖调,穿搭讲解,"重读 chocolate brown, shawl",无,无,无,换装跳切,适中,全一身景别必须拍到脚部或裤脚，防止截断感,无明显,动作不要过于夸张浮夸，保持高级感,无,4,First is chocolate brown. Styling as a shawl.,首先是巧克力棕。先当披肩穿。,无,Starting with this rich cocoa. I love draping it over shoulders.,先看这浓郁可可色。当披肩穿超美。,15.5,1) 全身穿搭比例完整 2) 披肩打结处细节清晰 3) 人物姿态自信放松,,,,1,http://bucket-xuyiyao-01.oss-cn-beijing.aliyuncs.com/n8n/2026-03-12/b2e12d20-595b-4783-889e-6eb010027926-recvdChmQdKRHd.jpg,md1_2026-03-11-10:31:39.png
recvdChmQdSuEo,24,4,18,23,5,2,上身试穿展示,面料轻薄度展示,卖点,9:16,口播测评,女主在披肩状态下轻抚手臂，画面一切，她换为套衫穿法，单手抬起展示袖子的透光感与轻盈度。,室内 / 走廊纯净背景,棕色套衫造型,满意赞叹,抚摸衣服感受轻薄，抬手拉伸袖口展示垂坠感,巧克力棕色羊绒毛衣,光线下袖子微微透光的轻薄透气感,底部英文字幕,中景,平拍,微微前推,视线引导至手臂与袖口互动区域,柔和顶光,暖调,产品细节解说,"重读 beautifully, elevated",无,无,无,直切,适中,布光需巧妙透出羊绒毛衣的轻透感,无明显,避免画面死黑掩盖织物质感,无,5,"Drapes beautifully, lightweight, cozy and elevated.",垂坠感好，轻盈舒适又高级。,跨造型剪辑展现多维质感,"It flows so well, light as air yet instantly chic.",垂感好，轻如空气又时髦。,21.5,1) 手臂抬起展示袖口透光感 2) 衣服垂坠线条流畅 3) 面料质感细节清晰,,,,1,http://bucket-xuyiyao-01.oss-cn-beijing.aliyuncs.com/n8n/2026-03-12/64e0b538-1345-40b8-9bec-812c5ef5c191-recvdChmQdSuEo.jpg,md1_2026-03-11-10:31:52.png
recvdChmQdV9oZ,24,5,23,30,7,2,上身试穿展示,棕色套衫背面与全景,演示,9:16,口播测评,女主完整穿着棕色套衫，原地转身一圈展示背面衣服下摆长度，随后正面双手插兜。,室内 / 厨房中岛台前,棕色套衫搭配白裤,轻松舒适,原地缓慢转身360度，自然定格展示正面垂坠态,巧克力棕色羊绒毛衣 (套衫态),衣服背面不贴肉的宽松度、下摆长度,底部英文字幕,全景,平拍,固定机位,全身居中，环境作为补充元素,明亮生活氛围光,暖调,朋友种草,"重读 pullover, comfortable",无,无,无,直切,适中,必须完整展示衣服背部线条与臀部遮盖比例,无明显,避免人物边缘与背景融为一体,无,6,Wearing as pullover. Relaxed fit and comfortable.,作为套衫穿。版型宽松舒适。,无,Now as a top. The loose cut is just so comfy.,当上衣穿。宽松剪裁特舒服。,28.5,1) 正面全身展示完整 2) 衣服版型宽松度可见 3) 人物表情自然愉悦,,,,1,http://bucket-xuyiyao-01.oss-cn-beijing.aliyuncs.com/n8n/2026-03-12/333674b4-c024-4bc9-8cee-3c23210c1477-recvdChmQdV9oZ.jpg,md1_2026-03-11-10:31:58.png
recvdChmQdxtuu,24,6,30,35,5,2,上身试穿展示,蓝色款披肩造型,演示,9:16,口播测评,女主换为一身深黑色系穿搭，肩上斜披着海军蓝色毛衣，侧身插兜展示飒爽职场混搭风。,室内 / 同前背景,换装黑衣黑裤，搭配海军蓝毛衣作披肩，显干练,自信气场,侧过身体，单侧肩膀对准镜头，展示搭肩效果,海军蓝色羊绒毛衣 (披肩态),海军蓝配色在自然光下的色泽与同色系穿搭感,底部英文字幕,全景,平拍,固定机位,居中构图，突出人物修长比例,自然生活光,暖调,穿搭解说,"重读 navy blue, shawl",无,无,无,换装跳切,偏快,注意深色衣服不能拍成一团黑，需打辅助光,无明显,禁止过度提高对比度导致色彩失真,无,7,"Next, gorgeous navy blue. Starting as a shawl.",接下来是绝美海军蓝。先当披肩。,无,"Moving to this deep navy. Worn loosely, its a vibe.",接着是深海军蓝。松松披着很有氛围。,32.5,1) 侧身展示披肩角度佳 2) 深蓝色泽还原准确 3) 人物姿态干练,,,,1,http://bucket-xuyiyao-01.oss-cn-beijing.aliyuncs.com/n8n/2026-03-12/39cb01ad-07cb-4298-a335-a56900680828-recvdChmQdxtuu.jpg,md1_2026-03-11-10:32:10.png
recvdChmQdBbF5,24,7,35,41,6,2,上身试穿展示,蓝色百搭属性展示,打消顾虑,9:16,口播测评,镜头切至半身，女主用手拉扯整理肩部毛衣结，随即跳切到她直接穿上蓝色套衫甩手的随性动作。,室内 / 同前背景,蓝色套衫造型,随意自然,整理领口打结处，换装后双手自然下摆甩动,海军蓝色羊绒毛衣,证明随意一搭也能出效果的易穿属性,底部英文字幕,中景 / 全景交替,平拍,固定机位,人物上半身动作居于视觉中心,自然光,暖调,轻松闲聊,"重读 classic, easy",无,无,无,直切,适中,抓拍整理衣服的动作需自然流畅不刻意,无明显,避免动作像走秀般生硬,无,8,"Classic color, easy to throw on over anything.",经典色，随意套在任何衣服外都很搭。,跨越披肩与套衫双重状态,"Such a timeless tone, pairs effortlessly with my entire wardrobe.",如此经典的色调，和我所有衣服都百搭。,39,1) 穿上套衫后的正面展示 2) 衣服平整无褶皱 3) 动作随性自然,,,,1,http://bucket-xuyiyao-01.oss-cn-beijing.aliyuncs.com/n8n/2026-03-12/c3226053-c1bc-48a3-885b-2bd1c95252e0-recvdChmQdBbF5.jpg,md1_2026-03-11-10:31:27.png
recvdChmQdIYjg,24,8,41,48,7,2,上身试穿展示,蓝色款塞衣角演示,卖点,9:16,口播测评,女主穿着蓝色毛衣，将正面下摆塞入高腰裤中，侧过身去用手比划腰部，展示塞衣角后的服帖感。,室内 / 同前背景,蓝色套衫配深色高腰裤,满意,侧身站立，手指向腹部和腰侧强调平整度,海军蓝色羊绒毛衣,塞入裤腰后不显肚子、不鼓包的修身效果,底部英文字幕,全景转中景,平拍,固定机位,视线焦点集中在人物腰腹部的平整线条,自然生活光,暖调,细节解说,"重读 soft, not bulky",无,无,无,直切,适中,腰部区域必须给足特写或清晰度以自证不臃肿,无明显,绝对不能拍出肚子有褶皱或鼓包的画面,无,9,"As pullover. Soft, not bulky, easy to tuck.",作为套衫。柔软不臃肿，容易塞衣角。,无,"Pullover mode. Its sleek, not puffy, perfect for tucking.",套头模式。利落不臃肿，完美塞进裤腰。,44.5,1) 侧身展示腰部线条平整 2) 手部指示动作明确 3) 无明显鼓包或褶皱,,,,1,http://bucket-xuyiyao-01.oss-cn-beijing.aliyuncs.com/n8n/2026-03-12/a7ed5f24-7276-4dc5-8a67-44fa1bef221b-recvdChmQdIYjg.jpg,md1_2026-03-11-10:31:33.png
recvdChmQdMvKT,24,9,48,53,5,3,促单与收尾,利益点播报促单,报价优惠,9:16,商业片,景别切近至近景肖像，女主播双手抱臂，一只手揉搓着另一侧的衣袖，直视镜头宣布福利活动。,室内 / 厨房中岛台边缘,蓝色毛衣造型，表情具有强感染力,真诚热情,眼神锁定镜头交流，手部维持抚摸材质的动作加强潜意识种草,满赠福利 (礼盒与贺卡),主播极具信任感的眼神与口型互动,底部字幕，明确提到门槛 $99 和 code,近景,平拍,微微前推,经典肖像对话构图，拉近与观众心理距离,柔光,暖调,导购催单,"重读 code, $99",无,无,无,景别切近,较快,必须确保口型与字幕福利内容对齐,注意营销活动真实性，不虚假宣传,严禁眼神游离或面无表情似读稿机,促销花字或动态贴图素材,10,Use code. Over $99 gets box and card.,使用折扣码。满99刀送礼盒贺卡。,抛出高转化利益点,Grab my code. Spend ninety-nine for the gift set bonus.,拿上我的码。满99就能得礼盒赠品。,50.5,1) 人物面部表情真诚清晰 2) 眼神直视镜头无躲闪 3) 手部抚摸衣袖动作自然,,,,1,http://bucket-xuyiyao-01.oss-cn-beijing.aliyuncs.com/n8n/2026-03-12/d7b6be2d-cc9a-432b-9070-2e3266f6789c-recvdChmQdMvKT.jpg,md1_2026-03-11-10:31:46.png
recvdChmQdAi5h,24,10,53,58,5,3,促单与收尾,定格呼吁,催单CTA,9:16,口播测评,女主微笑讲完最后一句总结，身体向后微退，对着镜头做了一个飞吻的手势，画面定格结束。,室内 / 同前背景,同前，灿烂微笑,治愈开心,飞吻挥手，身体自然放松摇摆,全场产品归纳总结,正向的购买情绪价值与品牌好感度,结尾提示字幕,中景,平拍,固定机位,居中构图，上方留白避免压抑,温暖柔光,暖调,朋友聊天式告别,"重读 timeless, so good",无,无,无,定格或淡黑结束,平缓,笑容必须自然发自内心，动作要连贯,无明显,避免话音未落直接生硬切断视频,无,11,Love cozy timeless pieces? These are so good.,喜欢舒适经典款？这些非常棒。,覆盖至全片结束点 T=58.0,"If you crave classic comfort, you need these ASAP.",想穿得经典舒适？这件必入。,56.5,1) 飞吻/挥手动作定格瞬间 2) 笑容灿烂极具感染力 3) 画面构图平衡无截断,,,,1,http://bucket-xuyiyao-01.oss-cn-beijing.aliyuncs.com/n8n/2026-03-12/5c25b376-f3e2-4be0-8cb0-06c569418331-recvdChmQdAi5h.jpg,md1_2026-03-11-10:31:21.png
